 P: 1000.00000
 i: 0.50000
 Month	Interest
 ======	===========
   1   	1000.41667
   2   	1000.83351
   3   	1001.25052
   4   	1001.66771
   5   	1002.08507
   6   	1002.50261
   7   	1002.92032
   8   	1003.33820
   9   	1003.75626
  10   	1004.17449
  11   	1004.59289
  12   	1005.01147
  13   	1005.43023
  14   	1005.84916
  15   	1006.26826
  16   	1006.68754
  17   	1007.10699
  18   	1007.52662
  19   	1007.94642
  20   	1008.36640
  21   	1008.78655
  22   	1009.20688
  23   	1009.62739
  24   	1010.04806
  25   	1010.46892
  26   	1010.88995
  27   	1011.31115
  28   	1011.73253
  29   	1012.15408
  30   	1012.57582
  31   	1012.99772
  32   	1013.41980
  33   	1013.84206
  34   	1014.26450
  35   	1014.68711
  36   	1015.10989
  37   	1015.53286
  38   	1015.95599
  39   	1016.37931
  40   	1016.80280
  41   	1017.22647
  42   	1017.65031
  43   	1018.07433
  44   	1018.49853
  45   	1018.92291
  46   	1019.34746
  47   	1019.77219
  48   	1020.19709
  49   	1020.62217
  50   	1021.04743
  51   	1021.47287
  52   	1021.89848
  53   	1022.32427
  54   	1022.75024
  55   	1023.17639
  56   	1023.60271
  57   	1024.02921
  58   	1024.45589
  59   	1024.88275
  60   	1025.30978
